song_name,propSameWordsLineOne,lineDiffI,difflines_KBOG,jan_notes,update_notes,drop.,X,X.1,X.2,X.3,X.4,mismatch,final_notes
bye bye bye,0,2,12,formatting differences,,,,,NA,NA,,0,
cake by the ocean,0,0,-5,,,,,,NA,NA,,0,
california gurls,0,0,-17,,,,,,NA,NA,,0,
Calma,0,9,14,,,,,,NA,NA,,0,
can't hold us,0,47,-1,,formatting differences,,,,NA,NA,,0,
caught up,0,2,15,formatting differences,,,,,NA,NA,,1,
centuries,0,2,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
chariot,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
cheap thrills,0,3,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
cinderella,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
cold water,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
come back to me,0,3,1,,,,,,NA,NA,,0,
complicated,0,0,21,formatting differences,,,,,NA,NA,,0,
Con Calma,0,2,NA,NA,,NA,,,NA,NA,,0,
confident,0,3,17,wrong song,formatting differences,,,,NA,NA,,0,
congratulations,0,9,-9,,,,,,NA,NA,,0,
cool,0,37,NA,NA,"2 versions, one has limited lyrics for KB",CHECK,capital version is correct,,NA,NA,,,"DUPLICATE (""Cool"" is right, ""cool"" isn't)"
crazy in love,0,0,1,,,,,,NA,NA,,0,
crush,0,0,8,,,,,,NA,NA,,1,"(but ""crush (david archuletta)"" is right)"
cry me a river,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
crying in the club,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
cupid's chokehold,0,18,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
Dancing in the Street,0,0,NA,NA,,NA,,,NA,NA,,0,
dark horse,0,0,-14,,,,,,NA,NA,,0,
dear future husband,0,12,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
dilemma,0,18,-3,,,,,,NA,NA,,0,
disturbia,0,74,-35,KB lyrics don't include bum-bums,,,,,NA,NA,,0,
dj got us falling in love,0,3,-40,cuts Pitbull's verse,,,,,NA,NA,,0,
do you remember,0,45,10,,KB cut an entire verse,,,,NA,NA,,0,
don't call me up,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
don't lie,0,3,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
don't matter,0,2,-23,,,,,,NA,NA,,0,
don't mind,0,2,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
don't stop the music,0,0,22,formatting differences,,,,,NA,NA,,0,
don't stop the party,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
don't wanna know,0,0,-22,,,,,,NA,NA,,0,
drive by,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
easier,0,45,NA,NA,"2 versions, one has no lyrics for KB",CHECK,capital version is correct,,NA,NA,,,DUPLICATE (one is ine)
eastside,0,18,-4,,,,,,NA,NA,,0,
elastic heart,0,0,-7,,,,,,NA,NA,,0,
electricity,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
ex's and oh's,0,0,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is right)
exit sign,0,9,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is right)
fallin',0,0,24,wrong song,,Y,,,NA,NA,,1,
far away,0,3,-17,,,,,,NA,NA,,0,
fell good inc,0,33,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
finesse,0,0,-5,,,,,,NA,NA,,0,
fire burning,0,0,-15,,,,,,NA,NA,,0,
fly,0,0,-2,,,,,,NA,NA,,,ERROR
fly,0,2,-2,,,,,,NA,NA,,,ERROR
forever,0,8,-11,,,,,,NA,NA,,0,
forever and for always,0,38,-18,,formatting differences,,,,NA,NA,,0,
fourfiveseconds,0,14,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
friends,0,0,-7,,,,,,NA,NA,,0,
galway girl,0,0,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
gangnam style,0,3,NA,NA,,NA,,,NA,NA,,1,
Gangnam Style,0,33,-9,,,,,,NA,NA,,1,
ghostbusters,0,0,-10,,,,,,NA,NA,,0,
giant,0,1,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is right)
girl on fire,0,0,-9,,,,,,NA,NA,,0,
girlfriend,0,2,-6,,,,,,NA,NA,,,ERROR
girlfriend,0,10,-6,,,,,,NA,NA,,,ERROR
gold,0,0,-39,check that we have correct song,,,,,NA,NA,,0,
good feeling,0,11,-12,,,,,,NA,NA,,0,
good time,0,0,-4,,,,,,NA,NA,,0,
happy (ashanti),0,17,-16,,,,,,NA,NA,,0,
heaven,0,13,-10,,,,,,NA,NA,,1,
hello,0,1,-21,,,,,,NA,NA,,,ERROR
hello,0,0,-21,,,,,,NA,NA,,,ERROR
hello,0,0,-21,,,,,,NA,NA,,,ERROR
here with me,0,2,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is right)
hero,0,9,0,,,,,,NA,NA,,,ERROR
hero,0,49,0,,error?,CHECK,og 209,,NA,NA,,,ERROR
hey baby,0,49,NA,NA,no KB lyrics,Y,,,NA,NA,,,MISSING KB LYRICS
"hey look ma, i made it",0,0,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is right)
hey soul sister,0,0,-42,KB lyrics incomplete,,Y,,,NA,NA,,0,
hey ya!,0,0,1,,,,,,NA,NA,,0,
ho hey,0,2,15,formatting differences,,,,,NA,NA,,0,
hold on,0,6,NA,NA,,NA,,,NA,NA,,0,
home,0,0,9,,,,,,NA,NA,,1,
honest,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
Hooked on a Feeling,0,55,3,,"KB doesn't have ""ooga chocka""",,,,NA,NA,,0,
how do you sleep?,0,0,-29,,,,,,NA,NA,,0,
how far i'll go,0,5,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
how far we've come,0,4,3,,,,,,NA,NA,,0,
how long,0,25,-14,,,,,,NA,NA,,0,
i don't want to be,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
i want it that way,0,0,1,,,,,,NA,NA,,0,
i want you to know,0,39,NA,NA,no KB lyrics,CHECK,,,NA,NA,,,MISSING KB LYRICS
I'll Be There,0,0,NA,NA,,NA,,,NA,NA,,1,
i'm gonna getcha good!,0,0,-15,,,,,,NA,NA,,0,
i'm real,0,2,-38,KB lyrics incorrect,,Y,,,NA,NA,,1,
i'm still in love with you,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
if everyone cared,0,22,-18,,,,,,NA,NA,,0,
in my feelings,0,9,-11,,,,,,NA,NA,,0,
incomplete,0,4,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
intuition,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
invisible,0,2,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
it girl,0,15,-22,,,,,,NA,NA,,0,
it's gonna be me,0,4,-5,,,,,,NA,NA,,0,
it's my life,0,34,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
it's not my time,0,3,-7,,,,,,NA,NA,,0,
jenny from the block,0,11,-15,,,,,,NA,NA,,0,
juju on that beat,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
just a dream,0,0,-1,,,,,,NA,NA,,0,
just a friend 2002,0,0,24,entire intro cut,,,,,NA,NA,,0,
just got paid,0,0,NA,NA,,NA,,,NA,NA,,1,
knocks you down,0,36,-16,,KB skips a verse,,,,NA,NA,,0,
latch,0,0,-5,,,,,,NA,NA,,0,
Lean on Me,0,27,-12,,,,,,NA,NA,,0,
leave (get out),0,0,1,,,,,,NA,NA,,0,
let it rock,0,44,-27,,KB cut out 2 entire verses,,,,NA,NA,,0,
let me go,0,4,-3,,,,,,NA,NA,,,ERROR
let me go,0,39,-3,,error?,CHECK,"284 og, kb 294",,NA,NA,,,ERROR
let me love you,0,6,13,wrong song (need Mario),error,CHECK,og 285,,NA,NA,,,ERROR
let me love you,0,0,13,wrong song (need Mario),,,,,NA,NA,,,ERROR
let me love you,0,6,13,wrong song (need Mario),error,CHECK,og 285,,NA,NA,,,ERROR
let me love you,0,0,13,wrong song (need Mario),,,,,NA,NA,,,ERROR
life of the party,0,0,NA,NA,,NA,,,NA,NA,,,MISSING OG LYRICS
little saint nick,0,0,-20,,,,,,NA,NA,,0,
lol,0,42,NA,NA,no KB lyrics,CHECK,"KB original song, should probably drop",,NA,NA,,,MISSING KB LYRICS
lost boy,0,2,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
love me like you do,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
lucid dreams,0,4,NA,NA,,NA,,,NA,NA,,1,DUPLICATE (one is right)
Lucid Dreams,0,8,-18,,,,,,NA,NA,,0,
make some noise!,0,28,6,,,,,,NA,NA,,1,
me against the music,0,5,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
me love,0,0,9,,,,,,NA,NA,,0,
me too,0,4,-7,,,,,,NA,NA,,0,
"me, myself & i",0,0,NA,NA,,NA,,,NA,NA,,,ERROR
"me, myself & i",0,3,NA,NA,,NA,,,NA,NA,,,ERROR
"me, myself & i",0,0,NA,NA,,NA,,,NA,NA,,,ERROR
"me, myself & i",0,3,NA,NA,,NA,,,NA,NA,,,ERROR
meant to live,0,35,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
meet me halfway,0,2,28,misalignment of lyrics,,,,,NA,NA,,1,
mia,0,0,NA,NA,,NA,,,NA,NA,,1,
MIA,0,0,NA,NA,,NA,,,NA,NA,,1,
mine,0,0,-28,,,,,,NA,NA,,,ERROR
mine,0,0,-28,,,,,,NA,NA,,,ERROR
mine,0,0,-28,,,,,,NA,NA,,,ERROR
mine,0,0,-28,,,,,,NA,NA,,,ERROR
move along,0,19,-10,,,,,,NA,NA,,0,
moves like jagger,0,29,-13,,,,,,NA,NA,,0,
my happy ending,0,1,13,formatting differences,,,,,NA,NA,,0,
my house,0,0,1,,,,,,NA,NA,,0,
my love,0,0,-9,,,,,,NA,NA,,0,
my love is your love,0,11,-21,,,,,,NA,NA,,0,
naturally,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
never be like you,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
never leave you,0,17,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
never really over,0,4,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
never say never,0,1,-27,,,,,,NA,NA,,1,
new rules,0,16,-13,,,,,,NA,NA,,0,
no brainer,0,5,-36,check that we have correct song,chorus repetition,,,,NA,NA,,0,
no letting go,0,0,2,,,,,,NA,NA,,0,
nobody's home,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
not a bad thing,0,7,-2,,,,,,NA,NA,,0,
obsession,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
old town road,0,1,-10,,,,,,NA,NA,,0,
on my mind,0,8,-1,,,,,,NA,NA,,0,
on the floor,0,0,-55,KB lyrics incomplete,,Y,,,NA,NA,,0,
one thing,0,2,35,wrong song,wrong song,Y,,,NA,NA,,1,
one touch,0,0,NA,NA,,NA,,,NA,NA,,1,
One Touch,0,3,-5,,,,,,NA,NA,,0,
outside,0,11,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
over my head,0,38,NA,NA,no KB lyrics,CHECK,,,NA,NA,,,MISSING KB LYRICS
over you,0,18,NA,NA,,NA,,,NA,NA,,,MISSING OG LYRICS
party like a rockstar,0,0,-9,,,,,,NA,NA,,0,
perfect,0,7,NA,NA,,NA,,,NA,NA,,,ERROR
perfect,0,4,NA,NA,,NA,,,NA,NA,,,ERROR
perfect,0,7,NA,NA,,NA,,,NA,NA,,,ERROR
perfect,0,4,NA,NA,,NA,,,NA,NA,,,ERROR
photograph,0,0,10,,,,,,NA,NA,,,ERROR
photograph,0,0,10,,,,,,NA,NA,,,ERROR
please don't leave me,0,0,-22,,,,,,NA,NA,,0,
pompeii,0,32,20,vocalizations spelled out,,,,,NA,NA,,0,
pon de replay,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
price tag,0,19,-2,,,,,,NA,NA,,0,
rich girl,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
ride,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
ruin my life,0,2,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
santa claus is coming to town,0,1,-6,,,,,,NA,NA,,0,
say it right,0,45,-17,,verse repetition,,,,NA,NA,,1,
scooby doo,0,1,10,,,,,,NA,NA,,0,
scream & shout,0,0,-83,KB lyrics incomplete,,Y,,,NA,NA,,0,
señorita,0,0,-49,,,,,,NA,NA,,1,
see you again (2007),0,1,-32,check that we have correct song,wrong song,Y,,,NA,NA,,1,
send my love,0,7,-14,,,,,,NA,NA,,0,
senorita,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
shape of my heart,0,28,-1,,,,,,NA,NA,,0,
shine on (feat. mathias anderie),0,0,NA,NA,,NA,,,NA,NA,,,MISSING OG LYRICS
shut up and dance,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
sing,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
"sit still, look pretty",0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
sk8ter boi,0,37,NA,NA,no KB lyrics,CHECK,missing lyrics on genius,,NA,NA,,,MISSING KB LYRICS
somebody to love,0,8,47,wrong song,"fixed now, looks good",Y,,,NA,NA,,0,
someday,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
someone you loved,0,3,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
sorry,0,0,6,,,,,,NA,NA,,,ERROR
sorry,0,6,6,,,,,,NA,NA,,,ERROR
sorry,0,0,6,,,,,,NA,NA,,,ERROR
sorry,0,6,6,,,,,,NA,NA,,,ERROR
sorry not sorry,0,0,-4,,,,,,NA,NA,,0,
sos,0,1,-9,,,,,,NA,NA,,0,
sounds like a hit,0,0,NA,NA,,NA,,,NA,NA,,,MISSING OG LYRICS
speed of sound,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
starships,0,0,-48,KB lyrics incomplete,,Y,,,NA,NA,,0,
steal my sunshine,0,4,-15,,,,,,NA,NA,,0,
stickwitu,0,29,-28,,,,,,NA,NA,,0,
style,0,3,NA,NA,,NA,,,NA,NA,,0,
sugar,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
suit & tie,0,2,-21,,,,,,NA,NA,,0,
summertime sadness,0,2,-17,,,,,,NA,NA,,0,
take me out,0,5,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
take you there,0,2,NA,NA,,NA,,,NA,NA,,1,
Take You There,0,11,50,wrong song (need Sean Kingston version),"fixed now, looks good",,,,NA,NA,,0,
talk,0,2,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
tattoo,0,0,-3,,,,,,NA,NA,,0,
team,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
telephone,0,6,20,wrong song ,"fixed now, looks good",Y,,,NA,NA,,0,
that don't impress me much,0,6,-9,,,,,,NA,NA,,0,
the addams family,0,0,-7,,,,,,NA,NA,,0,
the anthem,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
the game of love,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
the heart wants what it wants,0,0,0,,,,,,NA,NA,,0,
the man,0,6,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
the middle,0,7,0,,,,,,NA,NA,,,ERROR
the middle,0,24,0,,,,,,NA,NA,,,ERROR
the sweet escape,0,7,12,formatting differences,,,,,NA,NA,,0,
the time,0,0,-43,incorrect KB lyrcis,,Y,,,NA,NA,,1,
these words,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
this feeling,0,0,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
thrift shop,0,21,-24,,,,,,NA,NA,,0,
timber,0,0,NA,NA,,NA,,,NA,NA,,0,
time of our lives,0,10,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
too little too late,0,0,-14,,,,,,NA,NA,,0,
treasure,0,46,18,formatting differences,,,,,NA,NA,,0,
try,0,6,-26,,,,,,NA,NA,,1,
try everything,0,7,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
turn off the light,0,5,-8,,,,,,NA,NA,,0,
u don't have to call,0,3,-32,check that we have correct song,KB lyrics include verse not in song!,Y,,,NA,NA,,0,
umbrella,0,0,-36,drops Jay-Z's verse,,,,,NA,NA,,0,
uptown funk,0,1,-17,,,,,,NA,NA,,0,
vertigo,0,2,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
waiting for tonight,0,0,-15,,,,,,NA,NA,,0,
wake me up when september ends,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
wake up,0,15,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
walk away,0,0,-15,,,,,,NA,NA,,0,
walk me home,0,9,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
want to want me,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
want u back,0,2,-4,,,,,,NA,NA,,0,
watch me (whip / nae nae),0,0,-9,,,,,,NA,NA,,0,
we belong together,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
we run the show (kidz bop original track),0,20,NA,NA,,NA,,,NA,NA,,,NO OG LYRICS
what goes around...comes around,0,1,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
whataya want from me,0,51,NA,NA,no KB lyrics,Y,,,NA,NA,,,MISSING KB LYRICS
when you look me in the eyes,0,12,-5,,,,,,NA,NA,,0,
who let the dogs out,0,1,-14,,,,,,NA,NA,,0,
wish you well,0,55,NA,NA,"2 versions, one has no lyrics for original",CHECK,capital version is correct,,NA,NA,,,DUPLICATE (one is fine)
with love,0,10,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
without me,0,0,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
you and me,0,0,NA,NA,,NA,,,NA,NA,,,MISSING KB LYRICS
you say,0,34,NA,NA,,NA,,,NA,NA,,,DUPLICATE (one is fine)
You've Got A Friend,0,51,NA,NA,wrong song,,,,NA,NA,,1,
NA,0,0,NA,NA,,NA,,,NA,NA,,,
with you,0.06666666667,1,8,,,,,,NA,NA,,,ERROR
with you,0.06666666667,9,8,,,,,,NA,NA,,,ERROR
hello,0.1,1,-21,,,,,,NA,NA,,,ERROR
hello,0.1,0,-21,,,,,,NA,NA,,,ERROR
hello,0.1,0,-21,,,,,,NA,NA,,,ERROR
I Want Candy,0.1,3,-21,,,,,,NA,NA,,0,
tell me something i don't know,0.1,6,-20,,,,,,NA,NA,,0,
here,0.1111111111,0,-1,,,,,,NA,NA,,0,
part of me,0.125,13,-24,,,,,,NA,NA,,1,
too close,0.125,0,-21,,,,,,NA,NA,,1,
White Christmas,0.125,3,NA,NA,,NA,,,NA,NA,,1,
witch doctor,0.125,17,38,wrong song/kidz bop original?,,,,,NA,NA,,1,
absolutely (story of a girl),0.1428571429,0,0,,,,,,NA,NA,,1,
fancy,0.1428571429,3,-16,,,,,,NA,NA,,0,
Just Got Paid,0.1428571429,0,11,,,,,,NA,NA,,1,
so what,0.1538461538,0,-6,,,,,,NA,NA,,0,
1 thing,0.1666666667,19,4,,,,,,NA,NA,,0,
"Hello, Goodbye",0.1666666667,0,-15,,,,,,NA,NA,,1,
move it like this,0.1666666667,0,5,,,,,,NA,NA,,0,
what makes you beautiful,0.1666666667,0,10,,,,,,NA,NA,,1,
till the world ends,0.1818181818,5,-40,refrains not repeated,,,,,NA,NA,,0,
use somebody,0.1818181818,9,-2,,,,,,NA,NA,,0,
where are Ü now,0.1875,46,6,,formatting differences,,,,NA,NA,,0,
Broken,0.2,2,NA,NA,,NA,,,NA,NA,,1,
you make me feel...,0.2,5,-5,,,,,,NA,NA,,0,
god's plan,0.2222222222,0,-6,,,,,,NA,NA,,0,
can't get you out of my head,0.25,0,-6,,,,,,NA,NA,,0,
cruise,0.25,0,-11,,,,,,NA,NA,,0,
i gotta feeling,0.25,4,13,formatting differences,,,,,NA,NA,,0,
I Gotta Feeling - 1461400,0.25,0,NA,NA,,NA,,,NA,NA,,0,
i'm the one,0.25,0,-62,"cuts out verses by Quavo, Chance the Rapper, & Lil Wayne",,,,,NA,NA,,0,
listen to your heart,0.25,1,-2,,,,,,NA,NA,,0,
evacuate the dance floor,0.2727272727,3,-1,,,,,,NA,NA,,0,
my way,0.2727272727,0,11,,,,,,NA,NA,,0,
rude,0.2727272727,4,19,formatting differences,,,,,NA,NA,,0,
worth it,0.2727272727,0,20,,,,,,NA,NA,,0,
headstrong,0.2857142857,5,-15,,,,,,NA,NA,,0,
no promises,0.2857142857,7,1,,,,,,NA,NA,,0,
live while we're young,0.3,23,-4,,,,,,NA,NA,,0,
apologize,0.3333333333,74,10,,formatting differences,,,,NA,NA,,0,
bulletproof,0.3333333333,13,20,wrong song ,"fixed now, looks good",,,,NA,NA,,0,
Good Morning Starshine,0.3333333333,0,-10,,,,,,NA,NA,,0,
one time,0.3333333333,0,22,wrong song,,Y,,,NA,NA,,0,
pump it,0.3333333333,0,-45,KB lyrics incomplete + removes verses,,Y,,,NA,NA,,0,
never forget you,0.3571428571,0,-3,,,,,,NA,NA,,0,
clumsy,0.3636363636,0,10,,,,,,NA,NA,,0,
love on the brain,0.3636363636,12,0,,,,,,NA,NA,,0,
7 rings,0.375,74,0,,looks good,,,,NA,NA,,0,
all about that bass,0.375,1,24,formatting differences,,,,,NA,NA,,0,
i need your love,0.375,0,15,wrong song,,,,,NA,NA,,0,
live your life,0.375,0,-54,cuts out T.I.'s verses,,,,,NA,NA,,0,
lucky,0.375,0,1,,,,,,NA,NA,,0,
mr. saxobeat,0.3846153846,0,-29,,,,,,NA,NA,,0,
1985,0.4,12,18,wrong song  (need Bowling for Soup version),"fixed now, looks good",,,,NA,NA,,,
locked out of heaven,0.4,0,-3,,,,,,NA,NA,,,
i don't wanna live forever,0.4166666667,8,16,formatting differences,,,,,NA,NA,,,
accidentally in love,0.4285714286,10,-25,,,,,,NA,NA,,,
photograph,0.4285714286,0,10,,,,,,NA,NA,,,
photograph,0.4285714286,0,10,,,,,,NA,NA,,,
when i grow up,0.4285714286,23,-41,check that we have correct song,KB skips a verse,,,,NA,NA,,,
where⊙d you go,0.4285714286,0,11,,,,,,NA,NA,,,
cups,0.4444444444,5,2,,,,,,NA,NA,,,
just like fire,0.4444444444,0,-16,,,,,,NA,NA,,,
battlefield,0.4545454545,7,-15,,,,,,NA,NA,,,
Every Rose Has Its Thorn,0.4545454545,0,9,,,,,,NA,NA,,,
Ex's and Oh's,0.4545454545,1,NA,NA,,NA,,,NA,NA,,,
forget you,0.4545454545,1,16,wrong song,"fixed now, looks good",,,,NA,NA,,,
no,0.4545454545,2,-3,,,,,,NA,NA,,,
a thousand miles,0.5,0,-1,,,,,,NA,NA,,,
american boy,0.5,44,-40,cuts out Kanye's verse completely,,,,,NA,NA,,,
are you gonna be my girl,0.5,34,6,,,,,,NA,NA,,,
blue (da ba dee),0.5,3,8,,,,,,NA,NA,,,
don't forget about us,0.5,2,-5,,,,,,NA,NA,,,
for you i will (confidence),0.5,2,-9,,,,,,NA,NA,,,
glamorous,0.5,12,-37,cuts out Ludacris verse,,,,,NA,NA,,,
hate that i love you,0.5,0,-9,,,,,,NA,NA,,,
heart attack,0.5,0,2,,,,,,NA,NA,,,
Here Comes the Sun,0.5,1,-6,,,,,,NA,NA,,,
heroes (we could be),0.5,11,10,,,,,,NA,NA,,,
hey mama,0.5,30,-15,,,,,,NA,NA,,,
let's go,0.5,0,-2,,,,,,NA,NA,,,
lips are movin,0.5,0,9,,,,,,NA,NA,,,
lose my breath,0.5,1,-5,,,,,,NA,NA,,,
low,0.5,0,-12,,,,,,NA,NA,,,
makes me wonder,0.5,4,1,,,,,,NA,NA,,,
nothin' on you,0.5,0,-38,cuts out bridge,,,,,NA,NA,,,
oops!... i did it again,0.5,0,-7,,,,,,NA,NA,,,
party rock anthem,0.5,1,10,,,,,,NA,NA,,,
pocketful of sunshine,0.5,33,-31,check that we have correct song,verse repetition,,,,NA,NA,,,
problem,0.5,0,6,,,,,,NA,NA,,,
single ladies (put a ring on it),0.5,32,-64,KB lyrics incomplete,,Y,,,NA,NA,,,
starving,0.5,21,8,,,,,,NA,NA,,,
stronger,0.5,2,2,,,,,,NA,NA,,,
superstar,0.5,0,-29,,,,,,NA,NA,,,
sweet dreams,0.5,8,13,wrong song (need Beyonce),"fixed now, looks good",,,,NA,NA,,,
Talk,0.5,48,0,,"2 versions, one has no lyrics for KB",CHECK,capital version is correct,,NA,NA,,,
toxic,0.5,0,1,,,,,,NA,NA,,,
we don't talk anymore,0.5,0,-1,,,,,,NA,NA,,,
who says,0.5,0,-1,,,,,,NA,NA,,,
work,0.5,0,-7,,,,,,NA,NA,,,
cool kids,0.5384615385,2,13,formatting differences,,,,,NA,NA,,,
"i don't like it, i love it",0.5384615385,0,-5,,,,,,NA,NA,,,
kryptonite,0.5384615385,0,19,formatting differences,,,,,NA,NA,,,
